sample_id,taxid,name,lvl_type,rank,reads_all,reads_lvl,relative_abundance_all,relative_abundance_lvl
SAMP_001,1000,Taxon_1000,D,D,194.0,74.0,0.19715447154471544,0.07520325203252033
SAMP_001,1001,Taxon_1001,P,phylum,863.0,356.0,0.8770325203252033,0.3617886178861789
SAMP_001,1002,Taxon_1002,C,class,194.0,101.0,0.19715447154471544,0.10264227642276423
SAMP_001,1003,Taxon_1003,O,order,666.0,102.0,0.676829268292683,0.10365853658536585
SAMP_001,1005,Taxon_1005,G,genus,671.0,358.0,0.681910569105691,0.3638211382113821
SAMP_001,1011,Taxon_1011,F,family,788.0,632.0,0.8008130081300813,0.6422764227642277
SAMP_001,1012,Taxon_1012,G,genus,4.0,1.0,0.0040650406504065045,0.0010162601626016261
SAMP_001,1015,Taxon_1015,P,phylum,681.0,611.0,0.6920731707317073,0.6209349593495935
SAMP_001,1016,Taxon_1016,C,class,828.0,581.0,0.8414634146341463,0.5904471544715447
SAMP_001,1017,Taxon_1017,O,order,533.0,354.0,0.5416666666666666,0.3597560975609756
SAMP_001,1019,Taxon_1019,G,genus,837.0,179.0,0.850609756097561,0.18191056910569106
SAMP_001,1020,Taxon_1020,S,species,512.0,134.0,0.5203252032520326,0.13617886178861788
SAMP_001,1021,Taxon_1021,D,D,644.0,432.0,0.6544715447154471,0.43902439024390244
SAMP_001,1022,Taxon_1022,P,phylum,232.0,114.0,0.23577235772357724,0.11585365853658537
SAMP_001,1024,Taxon_1024,O,order,345.0,62.0,0.35060975609756095,0.06300813008130081
SAMP_001,1026,Taxon_1026,G,genus,545.0,219.0,0.5538617886178862,0.2225609756097561
SAMP_001,1028,Taxon_1028,D,D,77.0,44.0,0.0782520325203252,0.044715447154471545
SAMP_001,1029,Taxon_1029,P,phylum,729.0,365.0,0.7408536585365854,0.3709349593495935
SAMP_001,1035,Taxon_1035,D,D,46.0,26.0,0.046747967479674794,0.026422764227642278
SAMP_001,1037,Taxon_1037,C,class,213.0,143.0,0.21646341463414634,0.14532520325203252
SAMP_001,1042,Taxon_1042,D,D,830.0,233.0,0.8434959349593496,0.23678861788617886
SAMP_001,1044,Taxon_1044,C,class,572.0,188.0,0.5813008130081301,0.1910569105691057
SAMP_001,1047,Taxon_1047,G,genus,803.0,169.0,0.8160569105691057,0.1717479674796748
SAMP_001,1052,Taxon_1052,O,order,252.0,45.0,0.25609756097560976,0.04573170731707317
SAMP_001,1055,Taxon_1055,S,species,302.0,35.0,0.30691056910569103,0.03556910569105691
SAMP_001,1057,Taxon_1057,P,phylum,55.0,39.0,0.05589430894308943,0.039634146341463415
SAMP_001,1058,Taxon_1058,C,class,725.0,289.0,0.7367886178861789,0.2936991869918699
SAMP_001,1061,Taxon_1061,G,genus,27.0,4.0,0.027439024390243903,0.0040650406504065045
SAMP_001,1063,Taxon_1063,D,D,77.0,63.0,0.0782520325203252,0.06402439024390244
SAMP_001,1064,Taxon_1064,P,phylum,215.0,42.0,0.2184959349593496,0.042682926829268296
SAMP_001,1065,Taxon_1065,C,class,385.0,111.0,0.391260162601626,0.11280487804878049
SAMP_001,1066,Taxon_1066,O,order,364.0,84.0,0.3699186991869919,0.08536585365853659
SAMP_001,1067,Taxon_1067,F,family,665.0,165.0,0.6758130081300813,0.1676829268292683
SAMP_001,1070,Taxon_1070,D,D,311.0,108.0,0.3160569105691057,0.10975609756097561
SAMP_001,1073,Taxon_1073,O,order,2.0,0.0,0.0020325203252032522,0.0
SAMP_001,1076,Taxon_1076,S,species,749.0,546.0,0.7611788617886179,0.5548780487804879
SAMP_001,1077,Taxon_1077,D,D,362.0,211.0,0.3678861788617886,0.21443089430894308
SAMP_001,1080,Taxon_1080,O,order,273.0,215.0,0.2774390243902439,0.2184959349593496
SAMP_001,1086,Taxon_1086,C,class,191.0,24.0,0.19410569105691056,0.024390243902439025
SAMP_001,1087,Taxon_1087,O,order,984.0,816.0,1.0,0.8292682926829268
SAMP_001,1090,Taxon_1090,S,species,27.0,6.0,0.027439024390243903,0.006097560975609756
SAMP_001,1093,Taxon_1093,C,class,952.0,689.0,0.967479674796748,0.7002032520325203
SAMP_001,1098,Taxon_1098,D,D,125.0,110.0,0.12703252032520326,0.11178861788617886
SAMP_002,1000,Taxon_1000,D,D,147.0,122.0,0.1486349848331648,0.12335692618806876
SAMP_002,1002,Taxon_1002,C,class,341.0,293.0,0.3447927199191102,0.29625884732052576
SAMP_002,1003,Taxon_1003,O,order,475.0,216.0,0.48028311425682507,0.21840242669362994
SAMP_002,1004,Taxon_1004,F,family,62.0,15.0,0.06268958543983821,0.015166835187057633
SAMP_002,1005,Taxon_1005,G,genus,700.0,373.0,0.7077856420626896,0.37714863498483314
SAMP_002,1006,Taxon_1006,S,species,359.0,286.0,0.36299292214357937,0.2891809908998989
SAMP_002,1008,Taxon_1008,P,phylum,326.0,242.0,0.32962588473205257,0.24469160768452983
SAMP_002,1011,Taxon_1011,F,family,140.0,109.0,0.14155712841253792,0.1102123356926188
SAMP_002,1012,Taxon_1012,G,genus,989.0,296.0,1.0,0.2992922143579373
SAMP_002,1013,Taxon_1013,S,species,214.0,105.0,0.21638018200202225,0.10616784630940344
SAMP_002,1015,Taxon_1015,P,phylum,890.0,792.0,0.8998988877654196,0.8008088978766431
SAMP_002,1017,Taxon_1017,O,order,722.0,94.0,0.7300303336703741,0.09504550050556117
SAMP_002,1019,Taxon_1019,G,genus,31.0,26.0,0.03134479271991911,0.0262891809908999
SAMP_002,1020,Taxon_1020,S,species,669.0,163.0,0.6764408493427705,0.16481294236602628
SAMP_002,1023,Taxon_1023,C,class,428.0,54.0,0.4327603640040445,0.054600606673407485
SAMP_002,1025,Taxon_1025,F,family,285.0,96.0,0.28816986855409504,0.09706774519716886
SAMP_002,1028,Taxon_1028,D,D,18.0,15.0,0.01820020222446916,0.015166835187057633
SAMP_002,1029,Taxon_1029,P,phylum,17.0,8.0,0.017189079878665317,0.008088978766430738
SAMP_002,1030,Taxon_1030,C,class,768.0,606.0,0.7765419615773509,0.6127401415571284
SAMP_002,1033,Taxon_1033,G,genus,174.0,132.0,0.17593528816986856,0.13346814964610718
SAMP_002,1034,Taxon_1034,S,species,193.0,25.0,0.19514661274014156,0.025278058645096056
SAMP_002,1038,Taxon_1038,O,order,113.0,18.0,0.11425682507583418,0.01820020222446916
SAMP_002,1039,Taxon_1039,F,family,221.0,145.0,0.22345803842264914,0.14661274014155712
SAMP_002,1040,Taxon_1040,G,genus,677.0,251.0,0.6845298281092013,0.2537917087967644
SAMP_002,1042,Taxon_1042,D,D,830.0,126.0,0.839231547017189,0.12740141557128412
SAMP_002,1044,Taxon_1044,C,class,896.0,476.0,0.9059656218402427,0.48129423660262893
SAMP_002,1048,Taxon_1048,S,species,870.0,703.0,0.8796764408493428,0.7108190091001011
SAMP_002,1049,Taxon_1049,D,D,642.0,380.0,0.6491405460060667,0.38422649140546006
SAMP_002,1050,Taxon_1050,P,phylum,799.0,228.0,0.80788675429727,0.23053589484327602
SAMP_002,1056,Taxon_1056,D,D,379.0,322.0,0.3832153690596562,0.32558139534883723
SAMP_002,1058,Taxon_1058,C,class,86.0,77.0,0.08695652173913043,0.07785642062689585
SAMP_002,1059,Taxon_1059,O,order,54.0,20.0,0.054600606673407485,0.020222446916076844
SAMP_002,1061,Taxon_1061,G,genus,799.0,336.0,0.80788675429727,0.339737108190091
SAMP_002,1062,Taxon_1062,S,species,177.0,85.0,0.1789686552072801,0.0859453993933266
SAMP_002,1064,Taxon_1064,P,phylum,348.0,278.0,0.3518705763397371,0.2810920121334681
SAMP_002,1066,Taxon_1066,O,order,832.0,594.0,0.8412537917087968,0.6006066734074823
SAMP_002,1067,Taxon_1067,F,family,312.0,135.0,0.3154701718907988,0.1365015166835187
SAMP_002,1068,Taxon_1068,G,genus,758.0,331.0,0.7664307381193124,0.3346814964610718
SAMP_002,1069,Taxon_1069,S,species,834.0,575.0,0.8432760364004045,0.5813953488372093
SAMP_002,1071,Taxon_1071,P,phylum,982.0,184.0,0.9929221435793731,0.18604651162790697
SAMP_002,1073,Taxon_1073,O,order,766.0,252.0,0.7745197168857432,0.25480283114256824
SAMP_002,1077,Taxon_1077,D,D,238.0,27.0,0.24064711830131447,0.027300303336703743
SAMP_002,1078,Taxon_1078,P,phylum,228.0,202.0,0.23053589484327602,0.20424671385237614
SAMP_002,1079,Taxon_1079,C,class,578.0,255.0,0.5844287158746209,0.25783619817997977
SAMP_002,1081,Taxon_1081,F,family,608.0,391.0,0.6147623862487361,0.3953488372093023
SAMP_002,1082,Taxon_1082,G,genus,603.0,165.0,0.6097067745197169,0.16683518705763398
